"centerLong","centerLat","cluster"
-93.28801,44.96002,1
-93.2795,44.97792,2
-93.28131,44.95463,1
-93.27429,44.98078,2
-93.27429,44.98078,2
-93.27196,44.98165,2
-93.27532,44.93864,1
-93.29829,44.94747,1
-93.25549,44.96093,2
-93.29739,44.9542,1
-93.29092,44.98678,3
-93.28183,44.99967,3
-93.27071,44.98576,2
-93.30704,44.98211,3
-93.25495,44.95823,2
-93.24672,44.95553,2
-93.31609,45.02861,3
-93.28952,45.00086,3
-93.25878,44.95643,1
-93.28033,45.00893,3
-93.3097,44.98211,3
-93.22708,44.94761,4
-93.28952,45.00086,3
-93.21017,44.94925,4
-93.28539,44.97915,2
-93.2702,44.94046,1
-93.24417,44.93411,4
-93.24417,44.93411,4
-93.2795,44.97792,2
-93.26769,45.03084,3
-93.32318,44.94571,1
-93.24143,44.98145,2
-93.27145,44.93685,1
-93.24143,44.98145,2
-93.2549,45.01497,3
-93.27429,44.98078,2
-93.2639,44.9457,1
-93.29304,45.00684,3
-93.27754,44.89561,4
-93.28493,45.01398,3
-93.29139,44.93769,1
-93.26692,44.97332,2
-93.22033,44.90446,4
-93.24865,44.94213,4
-93.31805,45.04103,3
-93.22841,44.94761,4
-93.24605,44.93502,4
-93.24365,44.98363,2
-93.22194,44.93145,4
-93.24726,44.96347,2
-93.21662,44.92153,4
-93.28492,45.00313,3
-93.27083,44.93956,1
-93.27359,44.9853,2
-93.32362,44.96649,1
-93.31472,44.97265,1
-93.23784,44.98132,2
-93.29831,44.94565,1
-93.27534,44.97758,2
-93.26822,44.92513,4
-93.28873,44.94836,1
-93.26763,44.94047,1
-93.2987,45.00088,3
-93.26967,44.97774,2
-93.24725,44.96897,2
-93.29942,44.99467,3
-93.24544,44.9987,2
-93.25242,44.99421,2
-93.20397,44.94066,4
-93.26312,44.97236,2
-93.25247,44.95284,1
-93.31437,44.89256,4
-93.28637,44.90652,4
-93.23514,44.94837,4
-93.32554,44.95456,1
-93.30571,44.99228,3
-93.29321,44.94566,1
-93.21021,44.93156,4
-93.23458,44.98875,2
-93.26312,44.97236,2
-93.2861,44.9609,1
-93.29376,45.02578,3
-93.30196,44.9883,3
-93.26901,44.94921,1
-93.29988,45.04637,3
-93.24644,45.01316,3
-93.23442,44.98447,2
-93.23846,44.98285,2
-93.25115,44.97447,2
-93.24985,44.98481,2
-93.24786,44.98137,2
-93.25165,44.96377,2
-93.21126,44.96548,2
-93.28643,45.01135,3
-93.27192,44.98329,2
-93.30044,44.98897,3
-93.27781,44.9618,1
-93.28232,45.02267,3
-93.2037,44.92519,4
-93.25396,44.96383,2
-93.23374,44.98531,2
-93.24482,44.93863,4
-93.27959,44.96179,1
-93.2686,44.97791,2
-93.29563,44.99828,3
-93.29317,44.95099,1
-93.28218,44.94835,1
-93.25611,44.96272,2
-93.27791,44.94213,1
-93.22831,44.9296,4
-93.2563,44.94921,1
-93.27658,44.96458,1
-93.22706,44.92054,4
-93.24825,45.00988,3
-93.31269,44.9988,3
-93.22558,44.98515,2
-93.22883,45.00363,2
-93.30318,45.01411,3
-93.30443,45.00467,3
-93.26181,44.9627,2
-93.27275,44.95826,1
-93.24786,44.98137,2
